,country,type_item,type
0,Austria,MOVE,26
1,Austria,SUPPORT,21
2,Austria,HOLD,6
3,Austria,DISBAND,3
4,Austria,BUILD,2
5,England,MOVE,20
6,England,SUPPORT,8
7,England,DISBAND,4
8,England,CONVOY,2
9,England,HOLD,2
10,England,BUILD,1
11,France,MOVE,153
12,France,SUPPORT,111
13,France,HOLD,39
14,France,BUILD,11
15,France,CONVOY,8
16,France,DISBAND,6
17,Germany,MOVE,188
18,Germany,SUPPORT,122
19,Germany,HOLD,39
20,Germany,BUILD,15
21,Germany,CONVOY,3
22,Italy,MOVE,95
23,Italy,SUPPORT,59
24,Italy,HOLD,23
25,Italy,BUILD,7
26,Italy,DISBAND,5
27,Italy,CONVOY,2
28,Russia,MOVE,31
29,Russia,HOLD,18
30,Russia,SUPPORT,12
31,Russia,DISBAND,5
32,Russia,BUILD,3
33,Turkey,MOVE,192
34,Turkey,SUPPORT,134
35,Turkey,HOLD,49
36,Turkey,BUILD,18
37,Turkey,CONVOY,11
38,Turkey,DISBAND,1
