,country,year,units
0,Austria,1901,12
1,Austria,1902,14
2,Austria,1903,10
3,Austria,1904,6
4,Austria,1905,3
5,Austria,1906,3
6,Austria,1907,3
7,Austria,1908,3
8,Austria,1909,3
9,Austria,1910,3
10,Austria,1911,3
11,Austria,1912,3
12,Austria,1913,3
13,Austria,1914,3
14,Austria,1915,3
15,Austria,1916,3
16,Austria,1917,3
17,England,1901,12
18,England,1902,9
19,England,1903,12
20,England,1904,9
21,England,1905,6
22,England,1906,3
23,France,1901,12
24,France,1902,18
25,France,1903,18
26,France,1904,24
27,France,1905,24
28,France,1906,27
29,France,1907,24
30,France,1908,27
31,France,1909,27
32,France,1910,26
33,France,1911,25
34,France,1912,26
35,France,1913,27
36,France,1914,25
37,France,1915,27
38,France,1916,24
39,France,1917,21
40,France,1918,19
41,France,1919,18
42,France,1920,18
43,France,1921,5
44,Germany,1901,12
45,Germany,1902,15
46,Germany,1903,15
47,Germany,1904,15
48,Germany,1905,18
49,Germany,1906,17
50,Germany,1907,18
51,Germany,1908,24
52,Germany,1909,24
53,Germany,1910,24
54,Germany,1911,24
55,Germany,1912,24
56,Germany,1913,22
57,Germany,1914,25
58,Germany,1915,27
59,Germany,1916,33
60,Germany,1917,36
61,Germany,1918,36
62,Germany,1919,39
63,Germany,1920,38
64,Germany,1921,28
65,Italy,1901,12
66,Italy,1902,12
67,Italy,1903,15
68,Italy,1904,18
69,Italy,1905,18
70,Italy,1906,18
71,Italy,1907,19
72,Italy,1908,18
73,Italy,1909,18
74,Italy,1910,15
75,Italy,1911,15
76,Italy,1912,18
77,Italy,1913,17
78,Italy,1914,16
79,Italy,1915,17
80,Italy,1916,9
81,Italy,1917,9
82,Italy,1918,3
83,Italy,1919,1
84,Russia,1901,16
85,Russia,1902,16
86,Russia,1903,18
87,Russia,1904,15
88,Russia,1905,12
89,Russia,1906,9
90,Russia,1907,8
91,Turkey,1901,12
92,Turkey,1902,12
93,Turkey,1903,12
94,Turkey,1904,15
95,Turkey,1905,21
96,Turkey,1906,24
97,Turkey,1907,27
98,Turkey,1908,27
99,Turkey,1909,30
100,Turkey,1910,33
101,Turkey,1911,33
102,Turkey,1912,28
103,Turkey,1913,28
104,Turkey,1914,27
105,Turkey,1915,25
106,Turkey,1916,33
107,Turkey,1917,33
108,Turkey,1918,36
109,Turkey,1919,36
110,Turkey,1920,42
111,Turkey,1921,30
